VariableName,level,randomWeight,card1,skillMap1,card2,skillMap2,card3,skillMap3,card4,skillMap4,card5,skillMap5,card6,skillMap6
Defaults,1,1,{},{},{},{},{},{},{},{},{},{},{},{}
ID,level,randomWeight,card1,skillMap1,card2,skillMap2,card3,skillMap3,card4,skillMap4,card5,skillMap5,card6,skillMap6
1,8,100,{star=1;id=44},{441=1;443=1;442=1},{star=1;id=3432},{34322=1;34321=1;34323=1},{star=1;id=13},{132=1;131=1;133=1},{star=1;id=402},{4022=1;4023=1;4021=1},,,,
2,8,100,{star=1;id=53},{532=1;531=1;533=1},{star=1;id=3772},{37722=1;37721=1;37723=1},{star=1;id=273},{2732=1;2733=1;2731=1},{star=1;id=493},{4933=1;4931=1;4932=1},,,,
3,8,100,{star=1;id=82},{821=1;823=1;822=1},{star=1;id=13},{132=1;131=1;133=1},{star=1;id=402},{4022=1;4023=1;4021=1},{star=1;id=552},{5522=1;5523=1;5521=1},,,,
4,8,100,{star=1;id=692},{6921=1;6923=1;6922=1},{star=1;id=273},{2732=1;2733=1;2731=1},{star=1;id=493},{4933=1;4931=1;4932=1},{star=1;id=793},{7932=1;7931=1;7933=1},,,,
5,8,100,{star=1;id=2683},{26832=1;26833=1;26831=1},{star=1;id=402},{4022=1;4023=1;4021=1},{star=1;id=552},{5522=1;5523=1;5521=1},{star=1;id=2013},{20133=1;20132=1;20131=1},,,,
6,8,100,{star=1;id=2843},{28432=1;28433=1;28431=1},{star=1;id=493},{4933=1;4931=1;4932=1},{star=1;id=793},{7932=1;7931=1;7933=1},{star=1;id=2073},{20731=1;20733=1;20732=1},,,,
7,8,100,{star=1;id=3432},{34322=1;34321=1;34323=1},{star=1;id=552},{5522=1;5523=1;5521=1},{star=1;id=2013},{20133=1;20132=1;20131=1},{star=1;id=2593},{25933=1;25931=1;25932=1},,,,
8,8,100,{star=1;id=3772},{37722=1;37721=1;37723=1},{star=1;id=793},{7932=1;7931=1;7933=1},{star=1;id=2073},{20731=1;20733=1;20732=1},{star=1;id=2612},{26123=1;26121=1;26122=1},,,,
9,8,100,{star=1;id=13},{132=1;131=1;133=1},{star=1;id=2013},{20133=1;20132=1;20131=1},{star=1;id=2593},{25933=1;25931=1;25932=1},{star=1;id=2633},{26333=1;26332=1;26331=1},,,,
10,8,100,{star=1;id=273},{2732=1;2733=1;2731=1},{star=1;id=2073},{20731=1;20733=1;20732=1},{star=1;id=2612},{26123=1;26121=1;26122=1},{star=1;id=2963},{29632=1;29631=1;29633=1},,,,
11,8,100,{star=1;id=402},{4022=1;4023=1;4021=1},{star=1;id=2593},{25933=1;25931=1;25932=1},{star=1;id=2633},{26333=1;26332=1;26331=1},{star=1;id=3283},{32832=1;32831=1;32833=1},,,,
12,8,100,{star=1;id=493},{4933=1;4931=1;4932=1},{star=1;id=2612},{26123=1;26121=1;26122=1},{star=1;id=2963},{29632=1;29631=1;29633=1},{star=1;id=3293},{32932=1;32933=1;32931=1},,,,
13,8,100,{star=1;id=552},{5522=1;5523=1;5521=1},{star=1;id=2633},{26333=1;26332=1;26331=1},{star=1;id=3283},{32832=1;32831=1;32833=1},{star=1;id=3342},{33422=1;33421=1;33423=1},,,,
14,8,100,{star=1;id=793},{7932=1;7931=1;7933=1},{star=1;id=2963},{29632=1;29631=1;29633=1},{star=1;id=3293},{32932=1;32933=1;32931=1},{star=1;id=3472},{34723=1;34721=1;34722=1},,,,
15,8,100,{star=1;id=2013},{20133=1;20132=1;20131=1},{star=1;id=3283},{32832=1;32831=1;32833=1},{star=1;id=3342},{33422=1;33421=1;33423=1},{star=1;id=3511},{35113=1;35111=1;35112=1},,,,
16,8,100,{star=1;id=2073},{20731=1;20733=1;20732=1},{star=1;id=3293},{32932=1;32933=1;32931=1},{star=1;id=3472},{34723=1;34721=1;34722=1},{star=1;id=3683},{36833=1;36831=1;36832=1},,,,
17,8,100,{star=1;id=2593},{25933=1;25931=1;25932=1},{star=1;id=3342},{33422=1;33421=1;33423=1},{star=1;id=3511},{35113=1;35111=1;35112=1},{star=1;id=731},{7313=1;7312=1;7311=1},,,,
18,8,100,{star=1;id=2612},{26123=1;26121=1;26122=1},{star=1;id=3472},{34723=1;34721=1;34722=1},{star=1;id=3683},{36833=1;36831=1;36832=1},{star=1;id=1221},{12211=1;12213=1;12212=1},,,,
19,8,100,{star=1;id=2633},{26333=1;26332=1;26331=1},{star=1;id=3511},{35113=1;35111=1;35112=1},{star=1;id=731},{7313=1;7312=1;7311=1},{star=1;id=1903},{19033=1;19031=1;19032=1},,,,
20,8,100,{star=1;id=2963},{29632=1;29631=1;29633=1},{star=1;id=3683},{36833=1;36831=1;36832=1},{star=1;id=1221},{12211=1;12213=1;12212=1},{star=1;id=1931},{19312=1;19311=1;19313=1},,,,
21,8,100,{star=1;id=3283},{32832=3;32831=3;32833=3},{star=1;id=731},{7313=3;7312=3;7311=3},{star=1;id=1903},{19033=3;19031=3;19032=3},{star=1;id=3543},{35432=3;35433=3;35431=3},,,,
22,8,100,{star=1;id=3293},{32932=3;32933=3;32931=3},{star=1;id=1221},{12211=3;12213=3;12212=3},{star=1;id=1931},{19312=3;19311=3;19313=3},{star=1;id=163},{1633=3;1631=3;1632=3},,,,
23,8,100,{star=1;id=3342},{33422=3;33421=3;33423=3},{star=1;id=1903},{19033=3;19031=3;19032=3},{star=1;id=3543},{35432=3;35433=3;35431=3},{star=1;id=242},{2421=3;2422=3;2423=3},,,,
24,8,100,{star=1;id=3472},{34723=3;34721=3;34722=3},{star=1;id=1931},{19312=3;19311=3;19313=3},{star=1;id=163},{1633=3;1631=3;1632=3},{star=1;id=333},{3333=3;3332=3;3331=3},,,,
25,8,100,{star=1;id=3511},{35113=3;35111=3;35112=3},{star=1;id=3543},{35432=3;35433=3;35431=3},{star=1;id=242},{2421=3;2422=3;2423=3},{star=1;id=503},{5032=3;5033=3;5031=3},,,,
