path,languages,name,type,source
koudai_miaowahuamega/hero_miaowahuamega.skel,<cn;kr>,超级妙蛙花,spine,unit.unitRes
config/portrait/speedranktouxiang/img_3_cjmwh@.png,<cn;kr>,超级妙蛙花,png,unit.icon
config/portrait/jinglingtouxiang/img_3_cjmwh@.png,<cn;kr>,超级妙蛙花,png,unit.cardIcon
config/portrait/jinglingtouxiang1/img_3_cjmwh@.png,<cn;kr>,超级妙蛙花,png,unit.cardIcon2
config/portrait/simple/img_3_cjmwh@.png,<cn;kr>,超级妙蛙花,png,unit.iconSimple
config/big_hero/normal/img_3_cjmwh@.png,<cn;kr>,超级妙蛙花,png,unit.cardShow
config/big_hero/standby/img_3_cjmwh@.png,<cn;kr>,超级妙蛙花,png,unit.show
hero_sound/miaowahuam_atk.mp3,<cn;kr>,藤鞭,mp3,skill.sound
hero_sound/miaowahuam_skill1.mp3,<cn;kr>,毒粉,mp3,skill.sound
hero_sound/miaowahuam_skill2.mp3,<cn;kr>,阳光烈焰,mp3,skill.sound
koudai_penhuolongmegax/hero_penhuolongmegax.skel,<cn;kr>,超级喷火龙X,spine,unit.unitRes
config/portrait/speedranktouxiang/img_6_cjphlx@.png,<cn;kr>,超级喷火龙X,png,unit.icon
config/portrait/jinglingtouxiang/img_6_cjphlx@.png,<cn;kr>,超级喷火龙X,png,unit.cardIcon
config/portrait/jinglingtouxiang1/img_6_cjphlx@.png,<cn;kr>,超级喷火龙X,png,unit.cardIcon2
config/portrait/simple/img_6_cjphlx@.png,<cn;kr>,超级喷火龙X,png,unit.iconSimple
config/big_hero/normal/img_6_cjphlx@.png,<cn;kr>,超级喷火龙X,png,unit.cardShow
config/big_hero/standby/img_6_cjphlx@.png,<cn;kr>,超级喷火龙X,png,unit.show
hero_sound/penhuolongmegax_attack.mp3,<cn;kr>,火焰拳,mp3,skill.sound
hero_sound/penhuolongmegax_skill1.mp3,<cn;kr>,蓝色火焰,mp3,skill.sound
hero_sound/penhuolongmegax_skill2.mp3,<cn;kr>,蓝焰喷射,mp3,skill.sound
koudai_penhuolongmegay/hero_penhuolongmegay.skel,<cn;kr>,超级喷火龙Y,spine,unit.unitRes
config/portrait/speedranktouxiang/img_6_cjphly@.png,<cn;kr>,超级喷火龙Y,png,unit.icon
config/portrait/jinglingtouxiang/img_6_cjphly@.png,<cn;kr>,超级喷火龙Y,png,unit.cardIcon
config/portrait/jinglingtouxiang1/img_6_cjphly@.png,<cn;kr>,超级喷火龙Y,png,unit.cardIcon2
config/portrait/simple/img_6_cjphly@.png,<cn;kr>,超级喷火龙Y,png,unit.iconSimple
config/big_hero/normal/img_6_cjphly@.png,<cn;kr>,超级喷火龙Y,png,unit.cardShow
config/big_hero/standby/img_6_cjphly@.png,<cn;kr>,超级喷火龙Y,png,unit.show
hero_sound/penhuolongym_atk.mp3,<cn;kr>,热风,mp3,skill.sound
hero_sound/penhuolongym_skill1.mp3,<cn;kr>,飞行投掷,mp3,skill.sound
hero_sound/penhuolongym_skill2.mp3,<cn;kr>,火焰飓风,mp3,skill.sound
koudai_shuijianguimega/hero_shuijianguimega.skel,<cn;kr>,超级水箭龟,spine,unit.unitRes
config/portrait/speedranktouxiang/img_9_cjsjg@.png,<cn;kr>,超级水箭龟,png,unit.icon
config/portrait/jinglingtouxiang/img_9_cjsjg@.png,<cn;kr>,超级水箭龟,png,unit.cardIcon
config/portrait/jinglingtouxiang1/img_9_cjsjg@.png,<cn;kr>,超级水箭龟,png,unit.cardIcon2
config/portrait/simple/img_9_cjsjg@.png,<cn;kr>,超级水箭龟,png,unit.iconSimple
config/big_hero/normal/img_9_cjsjg@.png,<cn;kr>,超级水箭龟,png,unit.cardShow
config/big_hero/standby/img_9_cjsjg@.png,<cn;kr>,超级水箭龟,png,unit.show
hero_sound/shuijianguim_atk.mp3,<cn;kr>,水炮,mp3,skill.sound
hero_sound/shuijianguim_skill1.mp3,<cn;kr>,高速旋转,mp3,skill.sound
hero_sound/shuijianguim_skill2.mp3,<cn;kr>,水箭加农巨炮,mp3,skill.sound
koudai_dazhenfengmega/hero_dazhenfengmega.skel,<cn>,超级大针蜂,spine,unit.unitRes
config/portrait/speedranktouxiang/img_15_cjdzf@.png,<cn>,超级大针蜂,png,unit.icon
config/portrait/jinglingtouxiang/img_15_cjdzf@.png,<cn>,超级大针蜂,png,unit.cardIcon
config/portrait/jinglingtouxiang1/img_15_cjdzf@.png,<cn>,超级大针蜂,png,unit.cardIcon2
config/portrait/simple/img_15_cjdzf@.png,<cn>,超级大针蜂,png,unit.iconSimple
config/big_hero/normal/img_15_cjdzf@.png,<cn>,超级大针蜂,png,unit.cardShow
