VariableName,levelStart,levelEnd,group,res,boss,monsters,weight,backGround
Defaults,1,100,0,"""""",<>,,10,stage/ytly.csv
ID,等级下限（大于等于）,等级上限（小于）,怪物组,卡面资源,boss显示项,怪物IDs(cardsID),随机权重,背景地图
1001,,,1,config/item/icon_3zrb1.png,<731>,<44;692;273;13;731;402>,,
1002,,,1,config/item/icon_3zrb1.png,<1221>,<53;2683;402;273;1221;493>,,
1003,,,1,config/item/icon_3zrb1.png,<1903>,<82;2843;493;402;1903;552>,,
1004,,,1,config/item/icon_3zrb1.png,<1931>,<692;3432;552;493;1931;793>,,
1005,,,1,config/item/icon_3zrb1.png,<3543>,<2683;53;793;552;3543;2013>,,
1006,,,1,config/item/icon_3zrb1.png,<163>,<2843;82;2013;793;163;2073>,,
1007,,,1,config/item/icon_3zrb1.png,<242>,<3432;692;2073;2013;242;2593>,,
1008,,,1,config/item/icon_3zrb1.png,<333>,<3772;2683;2593;2073;333;2612>,,
1009,,,1,config/item/icon_3zrb1.png,<503>,<13;2843;2612;2593;503;2633>,,
1010,,,1,config/item/icon_3zrb1.png,<593>,<273;3432;2633;2612;593;2963>,,
1011,,,1,config/item/icon_3zrb1.png,<603>,<402;3772;2963;2633;603;3283>,,
1012,,,1,config/item/icon_3zrb1.png,<611>,<493;13;3283;2963;611;3293>,,
1013,,,1,config/item/icon_3zrb1.png,<631>,<552;273;3293;3283;631;3342>,,
1014,,,1,config/item/icon_3zrb1.png,<641>,<793;402;3772;3293;641;3472>,,
1015,,,1,config/item/icon_3zrb1.png,<712>,<2013;493;13;3342;712;3511>,,
1016,,,1,config/item/icon_3zrb1.png,<741>,<2073;552;273;3472;741;3683>,,
1017,,,1,config/item/icon_3zrb1.png,<863>,<2593;793;402;3511;863;44>,,
1018,,,1,config/item/icon_3zrb1.png,<883>,<2612;2013;493;3683;883;53>,,
1019,,,1,config/item/icon_3zrb1.png,<1082>,<2633;2073;552;3432;1082;82>,,
1020,,,1,config/item/icon_3zrb1.png,<1293>,<2963;2593;793;3772;1293;692>,,
1021,,,1,config/item/icon_3zrb1.png,<1612>,<3283;2612;2013;13;1612;2683>,,
1022,,,1,config/item/icon_3zrb1.png,<2033>,<3293;2633;2073;273;2033;2843>,,
1023,,,1,config/item/icon_3zrb1.png,<972>,<3342;2963;2593;402;972;3432>,,
1024,,,1,config/item/icon_3zrb1.png,<1032>,<3472;3283;2612;493;1032;3772>,,
1025,,,1,config/item/icon_3zrb1.png,<1071>,<3511;3293;2633;552;1071;13>,,
1026,,,1,config/item/icon_3zrb1.png,<631>,<3683;3342;2963;793;631;273>,,
1027,,,1,config/item/icon_3zrb1.png,<641>,<44;3472;3283;2013;641;402>,,
1028,,,1,config/item/icon_3zrb1.png,<712>,<53;3511;3293;2073;712;493>,,
1029,,,1,config/item/icon_3zrb1.png,<741>,<82;3683;3342;2593;741;552>,,
1030,,,1,config/item/icon_3zrb1.png,<863>,<692;44;3472;2612;863;793>,,
1031,,,1,config/item/icon_3zrb1.png,<883>,<2683;53;3511;2633;883;2013>,,
1032,,,1,config/item/icon_3zrb1.png,<1082>,<2843;82;3683;2963;1082;2073>,,
1033,,,1,config/item/icon_3zrb1.png,<1293>,<3432;692;44;3283;1293;2593>,,
1034,,,1,config/item/icon_3zrb1.png,<1612>,<3772;2683;53;3293;1612;2612>,,
1035,,,1,config/item/icon_3zrb1.png,<2033>,<13;2843;82;3342;2033;2633>,,
